aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
,인왕산아이파크,2008,,,,"79,500",20,4,2011,,,114.931,3,60,N,,11110,,무악동
,현대,2000,,,,"48,890",23,4,2011,,,84.92,9,82,N,,11110,,무악동
,광화문스페이스본(101동~105동),2008,,,,"80,000",21,4,2011,,,97.61,13,9,N,,11110,,사직동
,현대,2000,,,,"58,990",25,4,2011,,,114.9,5,82,N,,11110,,무악동
,창신쌍용2,1993,,,,"33,800",29,4,2011,,,79.87,15,703,N,,11110,,창신동
,인왕산아이파크,2008,,,,"70,500",19,4,2011,,,84.858,14,60,N,,11110,,무악동
,일성빌라트,1996,,,,"39,500",5,4,2011,,,84.99,2,145-5,N,,11110,,평창동
,경희궁파크팰리스,2003,,,,"98,800",2,4,2011,,,117.26,16,95,N,,11110,,내수동
,두산,1999,,,,"31,000",26,4,2011,,,59.95,5,232,N,,11110,,창신동
,아남2,1996,,,,"34,500",12,4,2011,,,59.4,2,236,N,,11110,,명륜2가
,경희궁파크팰리스,2003,,,,"99,000",29,4,2011,,,103.77,10,95,N,,11110,,내수동
,현대,2000,,,,"36,990",14,4,2011,,,60,13,82,N,,11110,,무악동
,종로센트레빌,2008,,,,"65,500",1,4,2011,,,114.67,10,2-1,N,,11110,,숭인동
,창신쌍용1,1992,,,,"27,000",4,4,2011,,,54.7,7,702,N,,11110,,창신동
,창신쌍용1,1992,,,,"27,500",15,4,2011,,,54.7,8,702,N,,11110,,창신동
,창신쌍용1,1992,,,,"37,400",13,4,2011,,,79.87,5,702,N,,11110,,창신동
,갑을아파트,1997,,,,"9,800",25,4,2011,,,30.46,8,595,N,,11110,,평창동
,창신쌍용2,1993,,,,"33,000",5,4,2011,,,79.87,8,703,N,,11110,,창신동
,동대문,1966,,,,"26,000",6,4,2011,,,28.8,3,328-17,N,,11110,,창신동
,인왕산아이파크,2008,,,,"89,500",11,4,2011,,,114.931,13,60,N,,11110,,무악동
,창신쌍용1,1992,,,,"34,200",12,4,2011,,,79.87,6,702,N,,11110,,창신동
,삼성,1998,,,,"28,500",20,4,2011,,,59.97,13,596,N,,11110,,평창동
,세종로대우,1994,,,,"39,000",9,4,2011,,,66.96,10,167,N,,11110,,내수동
,창신쌍용1,1992,,,,"46,750",6,4,2011,,,106.62,12,702,N,,11110,,창신동
,인왕산아이파크,2008,,,,"85,500",9,4,2011,,,114.931,2,60,N,,11110,,무악동
,효자,1999,,,,"20,000",18,4,2011,,,56.53,4,5-1,N,,11110,,통인동
,갑을아파트,1997,,,,"9,000",14,4,2011,,,30.46,6,595,N,,11110,,평창동
,MID그린(4동),2002,,,,"24,000",1,4,2011,,,59.55,6,601-5,N,,11110,,창신동
,인왕산아이파크,2008,,,,"62,000",2,4,2011,,,84.858,10,60,N,,11110,,무악동
